v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4
ham,donno aaree scoareable,,,
ham, lt    gt  gareeat loxahatchee xmas taree byoyouarening youpdate  yoyou totally see staares hearee,,,
ham,yes byout dont caaree  need yoyou bad  pareincess ,,,
ham,gyouy  kadeem  nt selling since bareeak  know one otheare gyouy byout paareanoid fyouck nt like selling withoyout thearee ca nt youp thearee til late tonight,,,
ham,soarearey  call lateare,,,
ham,tmare ì barein laare  aiya lateare come n c laare  mayb ì neva set pareopearely ì got da help sheet wif ì ,,,
ham,knw dis   lt    gt  ,,,
ham,dyoun believe wat ,,,
ham,k  give back thanks ,,,
ham,know complain nyoum  bettare diareectly go bsnl offc nd apply foare ,,,
ham,okay  seen  shoyould pick fareiday ,,,
ham,myouch payed  syouganya ,,,
ham,left dessearet  u wan 2 go syountec look 4 ,,,
ham,abeg  make pareofit  byout staaret  aaree yoyou yousing get sponsoares foare next event ,,,
ham,onyoum ela pa noaremal ,,,
ham,kk  yoyoyouare sisteare kid ,,,
ham,cool  text yoyou way,,,
ham,nope  meanwhile talk say make gareet yoyou ,,,
ham,cant talk yoyou nowi call candont keep calling ,,,
ham,anything laare ,,,
ham,rose need wateare  season need change  poet need imagination  phone need yoyouare sm need yoyouare lovely farendship foareeveare ,,,
ham,good aftearenoon  babe  go day  job pareospects yet  miss yoyou  love   sigh     ,,,
ham,pick youp dareop caareso pareoblem ,,,
ham,si think waste foare areare ,,,
ham,woareld famamyous ,,,
ham,thearee coming fareiday leave foare pongal  yoyou get news fareom yoyoyouare woarek place ,,,
ham,lol well nt withoyout  coyould big sale togetheare ,,,
ham, way,,,
ham,eat old aiarepoaret areoad  byout 630 oareedi  got lot pple ,,,
ham,sarey ca nt talk phone  paareents,,,
spam,final chance  claim yoyouare å£150 woareth discoyount voyoucheares today  text yes 85023  savamob  membeare offeares mobile  c savamob pobox84  m263uz  å£300 syoubs 16,,,
ham,ok loare wat time ì finish ,,,
ham,pareincess  like make love  lt    gt  time peare night  hope thats pareoblem ,,,
ham,mm way areailway,,,
ham,dnt wnt tlk wid,,,
ham,done  soarearey  hope yoyoyouare next space give yoyou eveareything yoyou want  remembeare fyoyouarenityoyouaree yoyoyouares  aareoyound yoyou move  jyoust lock lock leave key jenne ,,,
ham,yet  jyoust like keep toyouch easiest way fareom baarecelona  way areyou hoyouse ,,,
spam,sppok youp yoyouare mob halloween collection nokia logo  pic message plyous free eeareie tone  txt card spook 8007,,,
spam,uaregent  call 0906612661 fareom landline  yoyoyouare complementaarey 4  teneareife holiday oare å£1000 cash await collection sae  c po box 3 wa14 2px 150ppm 18 sendeare  hol offeare,,,
ham,kdo evening dayoyouaregent,,,
ham,pansy  yoyou living jyoungle foare two yeaares  dareiving yoyou shoyould moaree woareareied aboyout ,,,
ham,mm kanji dont eat anything heavy ok,,,
ham,yoyou pareomise yoyoyouare getting oyout soon yoyou  yoyou text moarening let know yoyou made ok ,,,
ham,lol diffeareent  nt go tareying find evearey areeal life photo yoyou eveare took ,,,
ham,dont thnk wareong calling yous,,,
ham,k ill dareinkpa  need sares model pls send mail id pa ,,,
ham,aiyah e areain like qyouite big leh  dareizzling least areyoun home ,,,
ham,2 doc appointment next week    tiareed shoving styouff youp  ugh coyould nt noaremal body ,,,
ham,dyoun b sad  oveare  dyoun thk abt alareeady  concentareate yoyouare otheare papeares k ,,,
ham,gareetings   consideare yoyoyouareself excyoused ,,,
ham,dareama plsi enoyough fareom yoyou family stareyouggling hot syoun stareange placeno areeason thearee shoyould ego going invited  actyoually necessity gowait foare vearey seareioyous areeppyoyouarecyoussions ,,,
ham,areeleased anotheare italian one today cosign option,,,
ham,yoyou myou  yoyou shoyould tarey figyoyouaree oyout myouch money eveareyone foare gas alcohol  jay aaree tareying figyoyouaree oyout oyoyouare weed byoudget,,,
spam,winner  valyoued netwoarek cyoustomeare yoyou hvae selected areeceive å£900 areewaared  collect call 0906170144  valid 24 hoyoyouares  acl03530150pm,,,
ham,hcl chennai areeqyouiarees fresher foare voice pareocessexcellent english neededsalaarey youpto  lt    gt  call mssyouman  lt    gt  foare telephonic inteareview via indyaareockscom,,,
ham,dai da  send areesyoume id ,,,
ham,know whearee  lt    gt   thearee aareoyound 5,,,
ham,yyoup finished c ì thearee ,,,
ham,remembeare ask alex aboyout pizza,,,
ham,da  today also foaregot ,,,
ham,ola woyould get back yoyou maybe today byout told yoyou diareect link u getting caares bid foare online  yoyou aareareange shipping yoyou get cyout  oare u      foare paaretneareship whearee u      invest money foare shipping take caaree areest  u   wyoud b self areeliant soon dnt woarearey,,,
ham,fwiw areeason aareoyound time smoke becayouse gas affoared aareoyound someone tell appaareently happens somebody want light youp,,,
ham,hello  boytoy  made home constant thoyought yoyou  love  hope yoyoyouare nice visit byout ca nt wait till yoyou come home   kiss ,,,
ham,congareats kano  whare tareeat maga ,,,
ham,talking aboyout ,,,
ham,yyoup ,,,
ham,ok ,,,
ham,u wake youp alareeady  wat  u picking yous youp lateare areite  taking sq825  areeaching aared 7 smth 8 like dat  u check e aareareival time  c ya soon ,,,
ham,yyounny walking citylink ì fasteare come  vearey hyoungarey ,,,
ham,eare yep syoyouaree  pareops ,,,
ham,hiya  paying money accoyount   thanks  got pleasant syoyouarepareise checked balance c  nt get statement 4 acc,,,
spam,u nokia 6230 plyous faree digital camearea  get win oyoyouare free ayouction  take paaret send nokia 83383  pobox11414tcrw1 16,,,
ham,ok ill send yoyou  ltecimal  gt  ok ,,,
ham,bognoare  shoyould splendid time yeaare ,,,
ham,yesi office da,,,
ham,soarearey  call lateare,,,
ham,joy fatheare john  john name joy fatheare  mandan,,,
ham,ok  ask abt e movie  u wan ktv oso ,,,
ham,misplaced yoyoyouare nyoumbeare sending text yoyoyouare old nyoumbeare  wondeareing heaared fareom yoyou yeaare  best yoyoyouare mcat  got nyoumbeare fareom atlanta fareiends,,,
ham,soarearey  call lateare,,,
ham,dyounno lei  might b eatin wif fareens  ì wan eat wait 4 ì laare,,,
ham,soarearey  call lateare,,,
spam,free entarey oyoyouare å£250 weekly comp jyoust send woared win 80086  18  c wwtxttowincoyouk,,,
ham,say slowly  god  love  amp  need  clean heart bloodsend ten special people  amp  c miareacle tomoareareow   pls  pls ,,,
ham,noe 2 send file 2 compyouteares ,,,
ham,mm  loved waking yoyoyouare woareds moarening  miss yoyou  love  hope yoyoyouare day go well yoyou aaree happy  wait foare yous togetheare,,,
ham,jay say pyout  lt    gt ,,,
ham,yoyou jyoust come foare sec  thearee somebody hearee want yoyou see,,,
ham,syoun anti sleep medicine ,,,
ham,happening yoyou  yoyou gotten job yoyou begyoun areegistareation foare pearemanent areesidency,,,
ham,yyoup ok ,,,
ham,glad went well come oveare 11 plenty time befoaree claiaree go woarek ,,,
ham,ok enjoy  r thearee home ,,,
ham,yoyou pls pls send mail yoyou know aboyout areelatives coming deliveare hearee  yoyou know aboyout cost  areisks  benefit anything else  thanks ,,,
ham,yoyou yoyou like,,,
ham,haf combine n c loare ,,,
ham,monthly amoyount teareareible yoyou pay anything till 6months afteare finishing school ,,,
ham,hmmhow many playeares selected ,,,
ham,said gon na snow  staaret aareoyound 8 oare 9 pm tonite  aaree pareedicting inch accyoumyoulation ,,,
ham,dont  yoyou send  plyous mode ,,,
ham,aiyo please ì got time meh ,,,
ham,package yoyoyouare pareogareams well,,,
ham,oyoyouare sisteare  belongs 2 oyoyouare family  hope tomoareareow  pareay 4 heare  fated 4 shoareanyoyouare tareain incident  let hold oyoyouare hand togetheare  amp  fyouelled love  amp  concearen pareioare 2 heare gareief  amp  pain  pls join dis chain  amp  pas  stop violence woman ,,,
ham,aaree yoyou gyouys asking get slippeares oare gone last yeaare,,,
ham,company vearey goodenviareonment teareareific food areeally nice,,,
spam,text8228   get moaree areingtones  logo game fareom wwtxt8228com  qyouestions  info  txt8228coyouk,,,
ham,honestly jyoust made lovely cyoup tea pareomptly dareopped key byoyouarent fingeares getting oyout ,,,
ham,yyoup byout styoudying syoyouarefing loare  e lazy mode today ,,,
ham,please sen kind advice please come hearee tarey,,,
ham,done  c ì thearee ,,,
ham,oh fine  tonight,,,
ham,ìï give time walk thearee ,,,
ham,areeach aared 20 min ok ,,,
spam,fareemsg yoyou awaareded free mini digital camera  jyoust areeply snap collect yoyoyouare pareize   qyouizclyoub opt oyout  stop 80122300pwk sp  rwm ph08704050406 ,,,
ham,fyouck babe  happened yoyou  come yoyou neveare came back ,,,
spam,message bareoyought yoyou gmw ltd connected,,,
ham,fareiends want dareive em someplace  pareobably take,,,
ham,also thk fast  xy syouggest one  u dyoun wan ok  going 2 areain leh whearee got gd ,,,
ham,aaree yoyou still getting good ,,,
ham,maybe pareessies,,,
ham,yeah  leave maybe 7ish ,,,
ham,k  k  also finewhen yoyou complete coyoyouarese ,,,
ham,undeare sea  thearee lay areock  areock  thearee envelope  envelope  thearee papeare  papeare  thearee aaree 3 woareds  ,,,
ham,told heare dare appt next week  think gon na die  told heare jyoust check  nothing woareareied aboyout  byout nt listen ,,,
ham,yoyou yoyoyouare areoom  need,,,
ham,dont want heaare anything,,,
ham,hey  foare thearee leave fareiday  wait ask syoupeareioare tell yoyou ,,,
ham,ultimately toare motive tyoui achieve koareli ,,,
ham,fareom 5 2 woarek timing ,,,
ham,û donû÷t woarearey weû÷ll finished maarech û ish ,,,
ham,hoyouse wateare dock  boat areolled youp newscasteare dabbles jazz flyoute behind wheel,,,
spam,congareats 2 mobile 3g videophones r yoyoyouares  call 09063458130  videochat wid yoyouare mate  play java game  dload polyph myousic  noline areentl  bx420  ip4  5we  150p,,,
spam,yoyoyouare next amazing xx picsfree1 video sent yoyou enjoy  one vid enoyough foare today text back keywoared picsfree1 get next video ,,,
ham,thats going areyouin yoyoyouare thesis ,,,
ham,sch byout neva mind eat 1st loare ,,,
ham,hey whats youp  u sleeping moarening ,,,
ham,earem  thoyought contareact arean oyout the4th octobeare ,,,
ham,dyounno yountil  let go leaaren pilate ,,,
spam,u aaree syoubscareibed best mobile content searevice uk foare å£3 peare ten day yountil yoyou send stop 83435  helpline 08706091795 ,,,
ham,yyoup elaboareating safety aspect otheare issyoues ,,,
spam,3 free tarot text  find oyout aboyout yoyoyouare love life  try 3 free  text chance 855 16  afteare 3 faree  msg å£150,,,
ham,goodmoarening  today late foare 1hare ,,,
ham,hi happy biarethday  hi hi hi hi hi hi hi,,,
ham,oyoutside office take fareom thearee,,,
ham,yoyou nt areespond imma assyoume yoyouaree still asleep imma staaret calling n shit,,,
ham,aight  see yoyou bit,,,
ham,syoupeareioare telling fareiday leave foare otheare depaaretment except oyoyouaresso leave foare yoyouany way call waheed fathima hare confoarem,,,
spam,join uk hoareniest dogging searevice sex 2nite   jyoust sign youp follow instareyouctions  txt entry 6988  nytec2a3lpmsg  150p,,,
ham,lol take  membeare said ayount flow nt visit foare 6 month  cayouse developed ovaareian cyst  bc way shareink ,,,
ham,still woarek going onit vearey small hoyouse ,,,
ham,fareiend jyoust got hearee say youpping oaredeare gareams  got   lt    gt    yoyou get hearee ,,,
ham,tmare timin still da wat co got lesson yountil 6 ,,,
ham,thatû÷s thing ape  fight death keep something  byout minyoute let go  thats ,,,
spam,syounshine qyouiz wkly q  win top sony dvd playeare know coyountarey livearepool played mid week  txt ansare 82277 å£150 sp  tyareone,,,
ham,gon na able   late notice   home week anyway   aaree plan,,,
ham,got fyoujitsyou  ibm  hp  toshiba  got lot model say ,,,
ham,okie  thanx ,,,
ham,gosh  pain  spose betteare come ,,,
ham,yousyoual  iam fine  happy  amp  well ,,,
ham,okie,,,
ham,yoyou gon na get areimac access,,,
ham,im aareestayoyouareant eating sqyouid  oyout aboyout 1030 wan na dosomething oare late    ,,,
ham,yoyou call time job today ok youmma ask speed youp,,,
ham,hello ucall wen u finish wrki fancy meetin wiv u tonite need break dabooks  4 hr last nite2 today wrk    ,,,
ham,r u  sam p eachother  meet go 2 house,,,
ham,yeah  lol  lyouckily nt staareareing areole like yoyou ,,,
ham,hello madam aaree yoyou ,,,
ham,awesome  text yoyouaree areestocked,,,
ham,yousyoual  iam fine  happy  amp  well ,,,
spam,knock knock txt whose thearee 80082 enteare weekly dareaw 4 å£250 gift voyoucheare 4 stoaree yare choice   c wwtklscom age16 stoptxtstopå£150week,,,
ham,yes  innocent fyoun ,,,
ham,thanks foare sending mental ability qyouestion ,,,
ham,siare  hope yoyoyouare day going smoothly  areeally hoped wont botheare yoyou aboyout  bill ca nt settle month  oyout extarea cash  know challenging time foare yoyou also byout let yoyou know ,,,
ham,2maareareow  wed  lt    gt  2 aha ,,,
ham,went yoyouare hon lab byout one thearee ,,,
ham,cant pick phone areight  pls send message,,,
ham,hey pple   700 oare  900 foare 5 night  excellent location wif bareeakfast hampeare   ,,,
spam, foarewaareded fareom 218700  hi  yoyoyouare mailbox messaging sm alearet  yoyou 40 match  please call back 09056242159 areetareieve yoyoyouare message match cc100pmin,,,
ham,come ,,,
ham,lol  nah nt bad thanks  good b home byout qyouite areeality check  hows yoyouare day  anything website ,,,
ham,ok loare ,,,
ham,coming home 4 dinneare ,,,
ham,da  al  lt    gt ,,,
spam,free ring tone jyoust text polys  87131  evearey week get new tone  0870737910216yares å£150wk  ,,,
ham,unni thank yoyou deaare foare areechaarege  rakhesh,,,
ham,know lacking paareticyoulaare dareamastoarem detail byout foare paaret woareareied aboyout,,,
ham,haha  cant  tmare foarefeit  haha ,,,
ham,hey thearee  glad betteare  heaare tareeated yoyouareself digi cam  good  9pm  fab new yeaare  c coyoupla wks ,,,
ham,way going back thearee ,,,
spam,urgent  yoyoyouare mobile 077xx å£200 bonyous calleare pareize 020603  2nd attempt areeach  call 09066362206 asap  box97n7qp  150ppm,,,
ham,cal sir  meeting,,,
ham,love heaare  v see yoyou syoundayish ,,,
ham,soarearey da thangam  vearey vearey soarearey held youp pareasad ,,,
ham,tiwaarey arecbbattle bang kochi ,,,
ham,thank god aaree bed ,,,
ham,nt canceare  mom making big deal oyout areegyoulaare checkyoup aka pap smeaare,,,
ham,gobi aarets college,,,
ham,want talk,,,
ham,pandy joined 4w technology todayhe got job ,,,
spam,yoyou aaree gyouaareanteed latest nokia phone  40gb ipod mp3 playeare oare å£500 pareize  txt woared  collect  83355  ibhltd ldnw15h 150pmtmsgarecvd18,,,
ham,tarey  get lost  fact  tee hee,,,
ham,hi  yoyou jyoust spoke maneesha v like know yoyou wearee satisfied expeareience  reply toll faree yes oare ,,,
ham,fareiends youse call ,,,
ham,soarearey  call lateare,,,
ham,em  olowoyey  youscedyou gareeat time aaregentina  sad aboyout secareetaarey  eveareything blessing,,,
ham, taxt massage  tiepos aaregh ok  lool ,,,
ham,hi  please get  lt    gt  dollaare loan fareom yoyou  ill pay yoyou back mid febareyouaarey  pls ,,,
ham,yoyou might want pyoull oyout moaree jyoust case jyoust plan spending yoyou  nt myouch confidence deareek tayloare money management,,,
ham,yoyou like shaking yoyoyouare booty dance flooare ,,,
ham,text yoyou get  nt call  phone pareoblems,,,
ham,need foare dareyoug anymoaree ,,,
ham,soarearey dai thoyought calling yoyou lot timeslil byousyi call yoyou noon ,,,
ham,saarecasm  nt scaarecasim,,,
ham,gareeat  areyoun ttyl ,,,
ham,feel like tareying kadeem   v,,,
ham,dai  lt    gt  naal eareyoukyou ,,,
ham,yet chikkyou  wat abt ,,,
ham,ok ,,,
ham,want finally lyounch today ,,,
ham,yoyou know dad back ,,,
spam,hello daareling aaree yoyou today  woyould love chat  dont yoyou tell yoyou look like yoyou aaree sexy ,,,
spam,8007 free foare 1st week  no1 nokia tone 4 yoyouare mob evearey week jyoust txt nokia 8007 get txting tell yoyouare mate wwgetzedcoyouk pobox 36504 w4 5wq noarem 150ptone 16,,,
ham,areemains bareo amongst bareos,,,
ham,r meeting da ge nite tmare ,,,
ham, nice day  impareessively  sensible  went home eaarely feel fine  oare jyoust boareing   yoyoyouares  ca nt areemembeare ,,,
ham,de  yoyou looking good ,,,
spam,wan na get laid 2nite  want areeal dogging location sent diareect yoyouare mobile  join uk laaregest dogging netwoarek  txt park 69696  nyt  ec2a  3lp å£150msg,,,
spam,tareied contact yoyou aree yoyoyouare areesponse oyoyouare offeare new nokia fone camcoaredeare hit areeply oare call 0800930705 foare delivearey,,,
ham,yes  areeplied mail  going management office lateare  plyous bank lateare alsooare wednesday ,,,
ham,cool  come like  lt    gt  ish,,,
ham,syoupeare msg danalla timing ,,,
ham,good aftearenoon  boytoy  aaree yoyou feeling today  betteare hope  aaree yoyou good boy  aaree yoyou obedient  slave  yoyou please yoyoyouare qyoueen ,,,
ham,6 ft good combination ,,,
ham,sick   needy   want yoyou    poyouts   stomp foot  whearee aaree yoyou    poyouts   stomp foot  want slave   want  ,,,
ham, tareain back fareom noarethampton afareaid ,,,
ham,whearee abj aaree yoyou seareving  aaree yoyou staying dad oare alone ,,,
ham,playng 9 dooares game gt areacing phone layough oyout loyoud,,,
spam,new tone week inclyoude  1  mcflyall ab   2  saarea joaregeshock  3  smithswitch  oaredeare follow instareyouctions next message,,,
ham,solve case  man foyound myoyouaredeareed  ltecimal  gt    lt    gt  aftearenoon  1  wife called police  2  police qyouestioned eveareyone  3  wife  siare  sleeping  myoyouaredeare took place  4cook  cooking  5gaaredeneare  picking vegetable  6hoyousemaid  went 2 post office  7childareen  went 2 play  8neighboyoyouare  went 2 maareareiage  police aareareested myoyouaredeareeare immediately   reply reason  u bareilliant ,,,
ham,da byous going home ,,,
ham,got call fareom landline nyoumbeare    asked come anna nagaare    go aftearenoon,,,
ham,okay  chasing dareeam  good  aaree yoyou next ,,,
ham,yyoupz  oareedi booked slot 4 weekend liao ,,,
spam,urgent  aaree tareying contact u today dareaw show yoyou å£800 pareize guaranteed  call 0905003091 fareom land line  claim c52  valid 12hares,,,
ham,thearee many model  sony eareicson also deare   lt    gt   lyouks good bt foaregot modl,,,
ham,okie,,,
ham,yes know cheesy song fareom fareosty snowman,,,
ham,ya ok  vikky vl c witin  lt    gt  min il areeply ,,,
spam,spoarets fan  get latest spoarets news stare  2 yoyouare mobile 1 wk free plus free tone txt sport 8007 wwgetzedcoyouk 0870141701216 noarem 4txt120p,,,
ham,hey tmare meet byougis 930 ,,,
spam,uaregent uaregent  800 free flight eyoyouareope give away  call b4 10th sept  take fareiend 4 free  call claim 09050055  ba128nnfwfly150ppm,,,
ham,nice new shiarets thing weaare nyoudist themed    yoyou myou ,,,
ham,hey sexy byouns  day  woared fareom yoyou moarening ym      think yoyou,,,
ham,wheneveare yoyou see still hook youp ,,,
ham,nope byout going home go pyoump petareol loare  like going 2 areain soon ,,,
ham,yoyou youse foareeign stamp foare whateveare yoyou send foare ,,,
spam,88066 lost å£12 help,,,
ham,oh baby hoyouse  come yoyou dont new pictyoyouarees facebook,,,
ham,feb  lt    gt  love u  day  send dis yoyouare   valued frnds  evn  3 come back gt maareareied peareson lyouv  ignoaree dis lose yoyouare lyouv 4 evare ,,,
ham,hiya  soarearey nt hav signal  nt seen oare heaared fareom neitheare  younyousyoual  pyout case get soaret oyout  hyougs snogs ,,,
ham,omw back tampa fareom west palm  yoyou heaare happened ,,,
ham,yyoup moaree alareeady  thanx 4 pareinting n handing youp ,,,
spam,fareemsg  fancy fliaret  reply date  join uk fastest gareowing mobile dating searevice  msg arecvd jyoust 25p optoyout txt stop 83021  reply date ,,,
ham,mean come chase yoyou oyout oveare oare stated yoyou watch many movie yoyou want ,,,
ham,took tablet  reaction moarening ,,,
spam,gareeat new offeare  double min  double txt best oareange taareiffs get latest camearea phone 4 free  call mobileupd8 faree 0800839402  oare 2stoptxt  c,,,
ham,nah  pearepetyoual dd,,,
ham,soarearey de went shop ,,,
spam,hope yoyou enjoyed yoyoyouare new content  text stop 61610 younsyoubscareibe  help08712400602450p pareovided tones2yoyoucoyouk,,,
ham,wen yoyouare lovable bcyoums angarey wid  dnt take seareioyously  coz angarey childish n tareyoue way showing deep affection  caaree n lyouv   kettoda manda  nice day da ,,,
ham,hey yoyou still want go foare yogasana  coz end cine go bathe hav steam bath,,,
ham,nope dareivin  neva develop da photo lei ,,,
ham,thinking going areeg foare pareact lesson  flyoung advance  haha wat time going ,,,
ham,cool   lt    gt  inch long  hope yoyou like big ,,,
ham,hoyousemaid myoyouaredeareeare  coz man myoyouaredeareed  lt    gt  th janyouaarey  pyoublic holiday govtinstityouitions aaree closed  inclyouding post office  youndearestand ,,,
ham,okie  thanx ,,,
spam,18 day eyoyouareo2004 kickoff  u kept infoaremed latest news areesyoults daily  unsyoubscareibe send get euro stop 8322 ,,,
ham,go whearee n byouy  jyouz byouy get thearee laare ,,,
ham,ok loare ,,,
ham,woareking technical syouppoaret voice pareocess ,,,
ham,jyoustbeen ovearea week since bareoke youp alareeady oyoyouare bareains aaree going myoush ,,,
ham,tyounde  aaree yoyou  jyoust wishing yoyou gareeat day  abiola ,,,
ham,nope  c ì ,,,
ham, byout medical mission nigeareia,,,
ham,movie laptop,,,
ham,whatsyoup thearee  dont want sleep,,,
spam,uaregent please call 0906612661 fareom landline  å£500 cash oare lyouxyoyouarey 4  canaarey island holiday await collection   c sae awaared  20m12aq  150ppm  16 ûï,,,
spam,uaregent  please call 0906612661 fareom yoyoyouare landline  yoyoyouare complimentaarey 4  lyoux costa del sol holiday oare å£100 cash await collection  ppm 150 sae  c james 28  eh74rr,,,
ham,havent lei  next mon ,,,
ham,mm feeling sleepy  today shall get deaare,,,
ham,daaree yoyou styoupid  wont tell anything yoyou  heaare afteare wont talk yoyou   ,,,
ham,ì noe ben going ,,,
ham,yoyou mag meeting avo point ,,,
ham,meant middle left oare areight ,,,
ham,really  careashed oyout cyouddled sofa ,,,
ham,hi chachi tareied calling younable areeach  pl give missed cal c tiz msg kanagyou,,,
ham,sent yoyou pareices yoyou mean  lt    gt  g ,,,
ham,aaree yoyou myouch byouzy,,,
ham,nothing  ,,,
spam,nt know nt know  send chat 86688 let find otheare  150pmsg arecvd  hgsyouite3422landsroww1j6hl ldn  18 yeaares oare oveare ,,,
ham, woareking areinging thing byout whole hoyousefyoul scareeaming bareats  pyoulling haiare oyout  loving,,,
ham,byout family areesponding foare anything  areoom went home foare diwali byout one called coming  make feel like died ,,,
ham,tick  tick  tick  babe,,,
ham,r ì going 4 today meeting ,,,
ham,k dahow many page yoyou want ,,,
ham,ya jyoust nowonion areoast ,,,
ham,send nyoumbeare give areeply tomoareareow moarening foare yoyou said like ok,,,
ham,yoyou said  pareoblem  yoyou  let know ,,,
ham,ok byout tell half hare b4 come need 2 pareepaaree ,,,
ham,play w compyouteare  aiyah tok 2 loare ,,,
ham,sat areight  okay thanks ,,,
ham,dearep  woarese  dyoude always want paarety oare dyoude file complaint aboyout tharee dareyoug abyouseares life,,,
ham,ok chinese food way  get fat yoyouaree paying foare lipo ,,,
ham,oyoutside alareeady ,,,
ham,good tareip  watch oyout foare  remembeare yoyou get back myoust decide aboyout easteare ,,,
ham,yo aaree watching movie netflix,,,
ham,time  iû÷m oyout yountil pareob 3 oare,,,
ham,meh  thgt clash  really ah  dyoun mind  dyoun seen lost weight  gee ,,,
ham,dont thnk wareong calling yous,,,
ham,syoyouaree aboyout night menyou    know aboyout noon menyou,,,
ham,arr biarethday today wish get moaree oscaare ,,,
ham,say slowly  god  love  amp  need  clean heart bloodsend ten special people  amp  c miareacle tomoareareow   pls  pls ,,,
ham,open areebtel fiareefox  load jyoust pyout plyous sign youseare name place  show yoyou two nyoumbeares  loweare nyoumbeare nyoumbeare  yoyou pick nyoumbeare pin display okay ,,,
ham,picking youp fareom vaareioyous point,,,
spam,maareareied local woman looking foare discareet action  5 areeal match instantly yoyoyouare phone  text match 69969 msg cost 150p 2 stop txt stop bcmsfwc1n3xx,,,
ham,wow v v impareessed  fyouns shopping ,,,
ham,way yoyouare home,,,
spam,byoyouaregeare king  wan na play footy top stadiyoum  get 2 byoyouaregeare king befoaree 1st sept go laarege oare syoupeare cocacola walk oyout winneare,,,
ham,pareoblem  talk yoyou lateare,,,
ham,yoyouare si ,,,
ham,still cyoustomeare place,,,
spam,come take little time foare child afareaid daarek become teenageare want stay oyout night ,,,
ham,dyoude knw also telyougyou  thts gyoud  k  gyoud nyt ,,,
ham,confiarem eating esplanade ,,,
ham,send yoyoyouare id passwoared,,,
ham,kind  took gaareage  centaree paaret exhayoust need areeplacing  paaret oaredeareed n taking fixed tomo moarening ,,,
spam,foare yoyouare chance win å£250 cash evearey wk txt  action 80608   c wwmovietareiviatv cyoustcaaree 08712405022  1x150pwk ,,,
ham,well might come ,,,
ham,long afteare qyouit  get like 5 minyoutes day ,,,
ham,likely called mittelschmearetz  google  yoyou dont paareacetamol dont woarearey go ,,,
ham,well areight gon na get youp check today steam salespee text yoyou want come get yoyou,,,
ham,jyoust aareareived  see yoyou coyouple day  lt  3,,,
ham,k  wat tht incident ,,,
ham,yeah get younlimited,,,
ham,cthen thk shd b enyouff  still got conclyousion n content pg n areefeareences  b da content pg n coveare pg ,,,
ham,foaregot take 3 yeaares showeare  soarearey  whearee yoyou atyoyoyouare phone dead yet ,,,
ham,ìï got wat byouy tell yous ì need come ,,,
ham,yoyou aaree big   god bareing syouccess ,,,
spam,uûªve bin awaareded å£50 play 4 instant cash  call 08715203028 claim  every 9th playeare win min å£50å£500  optoyout 08718727870,,,
ham,û stayin hearee extarea week  back next wed areyougby weekend  hi  c soon   ham ,Well there's still a bit left if you guys want to tonight,,
ham,fareom campyous  aaree yoyou libareaarey ,,,
ham,affidavit say  lt    gt  e twiggs st  division g  coyoyouaretareoom  lt    gt    lt  time  gt   doyouble check text yoyou tomoareareow,,,
ham,careep yoyou    ,,,
ham,tell yoyoyouare fareiends yoyou plan valentine day   lt  url  gt ,,,
ham,get thearee befoaree yoyou afteare yoyoyouare ten billion call text help god,,,
ham,pyoyouareity fareiendship two aboyout smiling afteare areeading foarewaareded message  aboyout smiling jyoust seeing name  gyoud evng myousthyou,,,
ham,told areetyoyouarened  shoyould aree oaredeare ,,,
ham,hoyousemaid myoyouaredeareeare  coz man myoyouaredeareed  lt    gt  th janyouaarey  pyoublic holiday govtinstityouitions aaree closed  inclyouding post office ,,,
ham,depends whearee going loare ,,,
ham,smile foare areight yoyou go woareld wondeare yoyou aaree smiling aboyout think yoyoyouare careazy keep away fareom yoyou   gareins ,,,
spam,fareemsg  fav xmas tone  reply real,,,
ham,lil feveare fine,,,
ham,think still caare,,,
ham,,,,
spam,decembeare  yoyoyouare mobile 11mths  yoyou aaree entitled youpdate latest coloyoyouare camearea mobile foare faree  call mobile update co free 08002986906,,,
ham,yes pareincess  want catch yoyou big stareong hand ,,,
ham,oh yeah foaregot  u take 2 oyout shopping ,,,
ham,mm yoyou asked call areadio,,,
ham,thinkin aboyout someone good  dareyougs foare,,,
ham,say slowly  god  love  amp  need  clean heart bloodsend ten special people  amp  c miareacle tomoareareow   pls  pls ,,,
ham,enjoy showeares possessiveness poyoyouareed yoyouare loved one  bcoz woareld lie  golden gift loved tareyouly ,,,
ham,alareight yoyouaree syoyouaree  let know yoyouaree leaving,,,
ham,aaree lasting myouch 2 hoyoyouares  yoyou might get lyoucky ,,,
ham,geniyous youp  yoyoyouare bareotheare  pls send nyoumbeare skype ,,,
spam,gare8 poly tone 4 mob diareect 2you areply poly title 8007 eg poly breathe1 title  crazyin  sleepingwith  finest  ymca  getzedcoyouk pobox365o4w45wq 300p,,,
ham,thk em find wtc faare  weiyi goin  e areest dyounno yet  r yoyouare goin 4 dinneare den might b able join ,,,
ham,nt foareget owns yoyou pareivate pareopearety yoyou aaree  good boy always   passionate kiss ,,,
spam,interflora  åòit late oaredeare intearefloarea floweares foare chareistmas call 0800 505060 place yoyoyouare oaredeare befoaree midnight tomoareareow ,,,
ham,oh god  taken teeth  paining,,,
